                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20240906"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     306                                     1029                  1.0780894434731238E+007                  3.0421308205010185E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  2.3116882507678769E+000                  1.5297132671619862E-001                  7.8128081691664075E-008                  3.7445746545091679E-001                  3.3216783615355916E-001                  1.5297132671619862E-001                  7.8128081691664075E-008                  3.7445746545091679E-001                  3.3216783615355916E-001                  4.5785315786573690E+000                 -1.7970934995109879E+001                 -1.0837079843903322E+001                  4.5785315786573699E+000                  8.5445791545620708E-001                  4.5784495904026725E+000                 -1.7970934995109879E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4270629610942756E+033                  1.0750489842634610E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844397E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4192523328708928E+000                  4.6276834356691587E+000                  9.9799021295728974E-001                  3.6181784604442346E+000                  0.0000000000000000E+000                  1.6898675122663569E+001                  1.2716243406649665E+000                  7.7172643043069629E+000                  1.3379879046729044E+000                  5.0040690749502725E-001                  4.0488451993801968E+000                  8.1381499005417021E-004                  9.7980145286522335E-001                  2.5553301907611152E-004                  2.0325101397552085E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5726309358671866E+000                  7.1286230483054718E+000                                        0                                        5 
                                     310                                     1096                  1.0786088214683190E+007                  3.0066732865801553E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  1.9213751728132868E+000                  1.2740709370128855E-001                  7.8128082246775588E-008                  3.7906940478685203E-001                  3.3216773240636799E-001                  1.2740709370128855E-001                  7.8128082246775588E-008                  3.7906940478685203E-001                  3.3216773240636799E-001                  4.5463617448768234E+000                 -1.6601899357460816E+001                 -1.1138109839567303E+001                  4.5463617448768234E+000                  1.0558663893737328E+000                  4.5462213474485713E+000                 -1.6601899357460816E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3400939192146898E+033                  1.1389208251953252E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844486E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4268821636652005E+000                  4.6381773118254790E+000                  9.8797748944683483E-001                  3.6382039074651447E+000                  0.0000000000000000E+000                  1.7037163397574432E+001                  1.3881940313233228E+000                  7.7462979460726249E+000                  1.3394208928937814E+000                  5.0008677747959496E-001                  4.0567205274054992E+000                  1.7355495918976849E-004                  9.8044460878890582E-001                  2.7235615059801726E-004                  2.0251471346948826E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5707279382261685E+000                  7.1305355056731257E+000                                        0                                        5 
                                     315                                     1123                  1.0788819136762055E+007                  2.5221232215398732E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  8.5326956011342869E-001                  3.9507348596666869E-001                  3.0432220735825372E-001                  5.6210360389139041E-002                  7.8128081885953105E-008                  3.9507348596666869E-001                  3.0432220735825372E-001                  5.6210360389139041E-002                  7.8128081885953105E-008                  4.5470584510176169E+000                 -1.5271899222244562E+001                 -1.0359958589183659E+001                  4.5470584510176169E+000                  1.7457759559328787E+000                  4.5463716274600561E+000                 -1.5271899222244562E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5432342668032397E+033                  1.1973300688478652E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844473E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4288584194988205E+000                  4.6414606363028534E+000                  9.8566664001828275E-001                  3.6428256063222486E+000                  0.0000000000000000E+000                  1.7203954600991242E+001                  1.5410168357993197E+000                  7.7746317851086530E+000                  1.3397939954679499E+000                  5.0000340013411970E-001                  4.0587709772942127E+000                  6.8002682394661701E-006                  9.8061350120310042E-001                  2.8500609711161815E-004                  2.0227952286520486E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5697815973309259E+000                  7.1314890225640717E+000                                        0                                        5 
                                     320                                     1115                  1.0789918449336683E+007                  2.3897556746109538E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6750577725767763E-001                  2.2638639690847925E-001                  4.0092547221955260E-001                  3.9307635442707833E-001                  3.6750577725767763E-001                  2.2638639690847925E-001                  4.0092547221955260E-001                  3.9307635442707833E-001                  4.5601565414508727E+000                 -1.4788311197660658E+001                 -9.8999999999999986E+001                  4.5601565414508727E+000                  2.1860015064580596E+000                  4.5583176826558027E+000                 -1.4788311197660658E+001                  0.0000000000000000E+000                  2.1952617863842029E+033                  9.8372483625673066E+033                  1.2030254844223223E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1032541444844446E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4271993579358169E+000                  4.6410745081988649E+000                  9.8879169909229603E-001                  3.6365754881742225E+000                  0.0000000000000000E+000                  1.7286041532638567E+001                  1.6233726498371976E+000                  7.7843693153209728E+000                  1.3398090843008670E+000                  5.0000001252232451E-001                  4.0588536453263417E+000                  2.5044649113682381E-008                  9.8062052968128621E-001                  2.8651680544349110E-004                  2.0226776387592433E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5693528723335080E+000                  7.1319212067732982E+000                                        0                                        6 
                                     325                                     1163                  1.0792109251912255E+007                  2.7856619048490776E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.2586000639622859E-001                  2.1442388201240883E-001                  3.5889923063312679E-001                  3.5726156184098845E-001                  3.2586000639622859E-001                  2.1442388201240883E-001                  3.5889923063312679E-001                  3.5726156184098845E-001                  4.6646112678217122E+000                 -1.4023715283692360E+001                 -1.0837079843903322E+001                  4.6646112678217122E+000                  1.9232502701693672E+000                  4.6638227390973253E+000                 -1.4023715283692360E+001                  1.6037111100032180E+033                  2.6903639895476922E+033                  9.6138464376090573E+033                  1.2332760714296883E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1001693248061746E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4216254446437153E+000                  4.6542645452287177E+000                  1.0065345441914240E+000                  3.6010897979759662E+000                  0.0000000000000000E+000                  1.7428979157665616E+001                  1.7685595987687412E+000                  7.7987159242845792E+000                  1.3398091396658709E+000                  5.0000000000003131E-001                  4.0588539471387106E+000                  6.2380817209184915E-014                  9.8062055657883218E-001                  2.8652788278917083E-004                  2.0226770999727962E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5683944744003497E+000                  7.1328803658290587E+000                                        0                                        5 
                                     330                                     1224                  1.0796640421243880E+007                  2.9628887423624559E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.5180550125248137E-001                  2.1340206931981437E-001                  9.9999992902535062E-001                  9.9999944982550004E-001                  4.5180550125248137E-001                  2.1340206931981437E-001                  9.9999992902535062E-001                  9.9999944982550004E-001                  4.6737889303665003E+000                 -1.2227014847269006E+001                 -9.5360498482393403E+000                  4.6737889303665030E+000                  2.2274979477861985E+000                  4.6722319914808255E+000                 -1.2227014847269006E+001                  2.5191977292611376E+033                  3.2627227444341746E+033                  9.1606461234516088E+033                  1.1453319634174654E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526061009255E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4068290421685585E+000                  4.6589289100729596E+000                  1.0384595315638585E+000                  3.5372398232310971E+000                  0.0000000000000000E+000                  1.7709331059135074E+001                  2.0295816243217466E+000                  7.8366991269636195E+000                  1.3398091396660081E+000                  5.0000000000000000E-001                  4.0588539471394558E+000                  0.0000000000000000E+000                  9.8062055657890068E-001                  2.8652788282559834E-004                  2.0226770999833877E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5662487741729727E+000                  7.1350183918677450E+000                                        0                                        5 
                                     335                                     1306                  1.0802321998353124E+007                  3.0195285318691982E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.1309574307506858E-001                  2.1280830928604849E-001                  4.5964147665765503E-001                  4.5255487051315724E-001                  4.1309574307506858E-001                  2.1280830928604849E-001                  4.5964147665765503E-001                  4.5255487051315724E-001                  4.6982923054109174E+000                 -9.5890146680888488E+000                 -7.9071502838187344E+000                  4.6982923054110275E+000                  1.0740706863733498E+000                  4.6981891209538231E+000                 -9.5890146680888488E+000                  3.2840508589142900E+033                  3.8501269223361318E+033                  8.5218771342992092E+033                  1.0499925087239938E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526061009144E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3790224571627068E+000                  4.6682169274655978E+000                  1.0987167102718824E+000                  3.4167254658150492E+000                  0.0000000000000000E+000                  1.8032219903356161E+001                  2.3080066438111793E+000                  7.8919545015042161E+000                  1.3398091396660148E+000                  4.9999999999999994E-001                  4.0588539471395144E+000                  0.0000000000000000E+000                  9.8062055657888569E-001                  2.8652788278709420E-004                  2.0226771005158920E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5634206761694465E+000                  7.1378513212004071E+000                                        0                                        5 
                                     340                                     1365                  1.0807215478592800E+007                  2.9734419381675625E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.1011487857571349E-001                  2.1047122739021248E-001                  4.5751109267260964E-001                  4.5252320602534962E-001                  4.1011487857571349E-001                  2.1047122739021248E-001                  4.5751109267260964E-001                  4.5252320602534962E-001                  4.7018113772243302E+000                 -6.7283754142422998E+000                 -6.4644163431813446E+000                  4.7018113772289052E+000                  6.7971905798719634E-001                  4.7017700997961329E+000                 -6.7283754142422998E+000                  3.8549372593055426E+033                  4.2650801896501432E+033                  8.0433150904486727E+033                  9.7310515546350290E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526061009170E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3515430042693977E+000                  4.6776161632619297E+000                  1.1583752339566666E+000                  3.2974084184454808E+000                  0.0000000000000000E+000                  1.8296624110698012E+001                  2.5245281492180860E+000                  7.9444027300446933E+000                  1.3398091396665048E+000                  5.0000000000000000E-001                  4.0588539471440148E+000                  0.0000000000000000E+000                  9.8062055657743175E-001                  2.8652788285503101E-004                  2.0226771140760021E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5609463211720511E+000                  7.1403320198441707E+000                                        0                                        5 
                                     345                                     1310                  1.0811726662320720E+007                  2.9450789501423014E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.1160531082539165E-001                  2.0976350713341282E-001                  4.6105402597240791E-001                  4.5252243945353959E-001                  4.1160531082539165E-001                  2.0976350713341282E-001                  4.6105402597240791E-001                  4.5252243945353959E-001                  4.7040519807123466E+000                 -4.0582231296511235E+000                 -4.6335715613156552E+000                  4.7040519816627206E+000                  5.1108480701988301E-001                  4.7040241303363537E+000                 -4.0582231296511235E+000                  4.3250831420847280E+033                  4.6084859880145959E+033                  7.6345285929031048E+033                  9.0245213779643222E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1464526087346978E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3234107232533852E+000                  4.6826167022118499E+000                  1.2171400654636513E+000                  3.1798787554315116E+000                  0.0000000000000000E+000                  1.8533286927672371E+001                  2.7118957407636084E+000                  7.9958466483527530E+000                  1.3398091398194187E+000                  4.9999999999999994E-001                  4.0588539485473687E+000                  0.0000000000000000E+000                  9.8062055608298049E-001                  2.8652832275695119E-004                  2.0226773972526014E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  7.5586514160062501E+000                  7.1426311677877301E+000                                        0                                        5 
