                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20240906"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4               log_total_angular_momentum                              num_retries                                num_iters 
                                       1                                      908                  7.3106720570799962E+003                  3.8639573027123579E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.9868842662470527E+000                  3.3221978232624683E-001                  7.8128083134954007E-008                  9.9999999285234797E-001                  9.9999996243861466E-001                  3.3221978232624683E-001                  7.8128083134954007E-008                  9.9999999285234797E-001                  9.9999996243861466E-001                  4.2818731825055458E+000                 -2.8949008070712658E+001                 -9.8999999999999986E+001                  4.2818731825055458E+000                  1.8964300013009419E+000                  4.2800816008250724E+000                 -2.8949008070712658E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0588982220096072E+033                  1.5932891262008208E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5034606065439642E+004                  4.4864124827688547E+000                  4.2891329125599906E+000                  6.9439465160678360E-001                  4.2253695831452474E+000                  0.0000000000000000E+000                  3.0498668930044252E+018                  3.8451279430261348E-005                  1.9157223847713164E-004                  2.0071581518675402E-001                  1.3222531550154329E+002                  6.5877050059255942E+002                  2.0071581518675399E-001                  2.5033352979062695E-001                 -9.8999999999999986E+001                  7.5336522872213711E+000                  7.9019300851230201E-001                  1.6502526158069411E+001                  1.6502526158069411E+001                  7.9019300851230201E-001                  7.5336522872213711E+000                  6.1756558079372237E-001                  8.4927112320494014E-001                  1.2987179904008281E+000                  2.2981020617048831E+001                  3.8560030287469950E-005                  2.1802581185655322E-002                  6.9854220446488569E-001                  2.8091212459223291E-001                  6.0682587504711295E-005                  9.2299541439586248E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  1.0492372710858220E+001                  4.2043303117014812E+000                  5.2011950815024711E+001                                        0                                        5 
                                       5                                      902                  5.4403097179966499E+004                  4.1806822869028570E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.9266070553197361E+000                  3.2586000639623014E-001                  7.8128083134954007E-008                  3.6363141006637145E-001                  3.4101948713310493E-001                  3.2586000639623014E-001                  7.8128083134954007E-008                  3.6363141006637145E-001                  3.4101948713310493E-001                  4.2854617467746996E+000                 -2.8971781180172641E+001                 -9.8999999999999986E+001                  4.2854617467746996E+000                  1.7566302057497576E+000                  4.2841746946454542E+000                 -2.8971781180172641E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0998670725841123E+033                  1.5821640257316410E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5717554167602575E+004                  4.4853993476833676E+000                  4.2842112779218997E+000                  6.9396010445871081E-001                  4.2262386774413923E+000                  0.0000000000000000E+000                  3.0515479031533143E+018                  3.8544552496470051E-005                  1.9201991762612142E-004                  2.0073359897423670E-001                  1.3242062132731022E+002                  6.5968508511090749E+002                  2.0073359897423670E-001                  2.4896195620324371E-001                 -9.8999999999999986E+001                  7.5331769883817330E+000                  7.8706054317034901E-001                  1.6498561054330086E+001                  1.6498561054330086E+001                  7.8706054317034901E-001                  7.5331769883817330E+000                  6.1843045113000039E-001                  8.4836167340768120E-001                  1.3010075817225397E+000                  2.2965080538127260E+001                  3.8378259161669986E-005                  2.1782756776294869E-002                  6.9672330735412036E-001                  2.8276742355371087E-001                  6.3503563554115800E-005                  8.9425602497203733E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  1.0483075899056534E+001                  4.2135611518542566E+000                  5.2011950815024711E+001                                        0                                        5 
                                      10                                      894                  1.8977541195482074E+005                  4.5765885171409817E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.7850282581374026E+000                  3.1627352231231676E-001                  7.8128083134954007E-008                  3.6983039757246250E-001                  3.3916522846105307E-001                  3.1627352231231676E-001                  7.8128083134954007E-008                  3.6983039757246250E-001                  3.3916522846105307E-001                  4.2866419601065910E+000                 -2.9066670889625410E+001                 -9.8999999999999986E+001                  4.2866419601065910E+000                  1.6622601502328853E+000                  4.2856093920558820E+000                 -2.9066670889625410E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1154194981671525E+033                  1.5480475553772219E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5035203820269271E+004                  4.4836702709129002E+000                  4.2854734853947649E+000                  6.9804936173607923E-001                  4.2180601628866556E+000                  0.0000000000000000E+000                  3.0537314779124372E+018                  3.7859504540216706E-005                  1.8927475705790797E-004                  2.0002561333834562E-001                  1.3128876653995863E+002                  6.5636148012159856E+002                  2.0002561333834562E-001                  2.4952748214718681E-001                 -9.8999999999999986E+001                  7.5312615839556205E+000                  7.7927262208916870E-001                  1.6487462420209845E+001                  1.6487462420209845E+001                  7.7927262208916870E-001                  7.5312615839556205E+000                  6.2101975212583327E-001                  8.4565560721835475E-001                  1.3078748798691890E+000                  2.2903332737508553E+001                  3.7905785417957889E-005                  2.1715953680237120E-002                  6.9131117501450434E-001                  2.8827237239488274E-001                  7.0623719308580938E-005                  8.2095227151717243E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  1.0456386965187910E+001                  4.2403476307704109E+000                  5.2011950815024719E+001                                        0                                        5 
                                      15                                      893                  5.2662505025538593E+005                  4.9724947473791055E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.5207828320126886E+000                  3.0019462612469971E-001                  7.8128082801887100E-008                  3.7906940478685247E-001                  3.3832376934126457E-001                  3.0019462612469971E-001                  7.8128082801887100E-008                  3.7906940478685247E-001                  3.3832376934126457E-001                  4.2908107917008262E+000                 -2.9202349553094894E+001                 -1.1439139835231284E+001                  4.2908107917008262E+000                  1.5940316405592159E+000                  4.2899369313857001E+000                 -2.9202349553094894E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1100506625535030E+033                  1.0149514065120530E+034                  1.2584393192179319E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4572289025429693E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3357557296728934E+004                  4.4803008203117978E+000                  4.2899439777899859E+000                  7.0702350913589440E-001                  4.2001118680870251E+000                  0.0000000000000000E+000                  3.0584237931399178E+018                  3.6398087779658480E-005                  1.8332914047963572E-004                  1.9854115548016954E-001                  1.2883567140886896E+002                  6.4891339758409094E+002                  1.9854115548016954E-001                  2.5126698100532296E-001                 -9.8999999999999986E+001                  7.5281430258296345E+000                  7.6544915977720895E-001                  1.6466714232017246E+001                  1.6466714232017246E+001                  7.6544915977720895E-001                  7.5281430258296345E+000                  6.2796680850846698E-001                  8.3851219712885006E-001                  1.3263854512340192E+000                  2.2722969184129241E+001                  3.7061301774549925E-005                  2.1591161466189616E-002                  6.7702435618110490E-001                  3.0273774095710554E-001                  8.4230712043651375E-005                  6.7992998361870996E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  1.0389794578630189E+001                  4.3074533364943646E+000                  5.2011950815024719E+001                                        0                                        5 
                                      20                                      879                  1.3648147422314484E+006                  5.3684009776172292E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.2400761099477933E+000                  2.8073908663139502E-001                  7.8128082579842495E-008                  3.7906940478685225E-001                  3.3811115825027460E-001                  2.8073908663139502E-001                  7.8128082579842495E-008                  3.7906940478685225E-001                  3.3811115825027460E-001                  4.3054790282981825E+000                 -2.9211817459916784E+001                 -1.1439139835231284E+001                  4.3054790282981825E+000                  1.5101455747640471E+000                  4.3047827241807077E+000                 -2.9211817459916784E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0771677914874700E+033                  9.7455414246012599E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9407801192343024E+004                  4.4748082987341640E+000                  4.3048875574227443E+000                  7.2548034210754109E-001                  4.1631982021437315E+000                  0.0000000000000000E+000                  3.0710021101042360E+018                  3.3601009223498436E-005                  1.7149787450098657E-004                  1.9592836696546503E-001                  1.2405349149092446E+002                  6.3315919850887076E+002                  1.9592836696546503E-001                  2.5650445202408867E-001                 -9.8999999999999986E+001                  7.5258287614830053E+000                  7.4946071055166263E-001                  1.6437643235511462E+001                  1.6437643235511462E+001                  7.4946071055166263E-001                  7.5258287614830053E+000                  6.4751910393883982E-001                  8.1925033265801861E-001                  1.3791093813338873E+000                  2.2179372352100458E+001                  3.6013450235828054E-005                  2.1415462292858376E-002                  6.3850063401431623E-001                  3.4154062180928524E-001                  1.0580804959705030E-004                  4.5949627334454998E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  1.0220705595540485E+001                  4.4775108604290894E+000                  5.2011950815024711E+001                                        0                                        5 
                                      25                                      877                  2.5012982623617016E+006                  5.2892395742065181E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  3.7904459844997342E+000                  2.5130570133173014E-001                  7.8128082468820192E-008                  3.7906940478685214E-001                  3.3788816197083293E-001                  2.5130570133173014E-001                  7.8128082468820192E-008                  3.7906940478685214E-001                  3.3788816197083293E-001                  4.3268769974874424E+000                 -2.8960428397619282E+001                 -1.0740169830895265E+001                  4.3268769974874424E+000                  1.4168661234069289E+000                  4.3263423830079102E+000                 -2.8960428397619282E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0140308217264945E+033                  9.4415361355716942E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4595206952509623E+004                  4.4686673183688317E+000                  4.3263711456776690E+000                  7.4850409696566822E-001                  4.1171506924274777E+000                  0.0000000000000000E+000                  3.0899738220925804E+018                  3.0442216474194514E-005                  1.5768897717449327E-004                  1.9305410582165289E-001                  1.1845609959506663E+002                  6.1359209640778238E+002                  1.9305410582165289E-001                  2.6407016487949525E-001                 -9.8999999999999986E+001                  7.5271613429064139E+000                  7.4061195771909660E-001                  1.6412777312484529E+001                  1.6412777312484529E+001                  7.4061195771909660E-001                  7.5271613429064139E+000                  6.8037642283149147E-001                  7.8939521504561616E-001                  1.4697681750768912E+000                  2.1287246953950881E+001                  3.5294194061443264E-005                  2.1274383637789586E-002                  5.7879040936978676E-001                  4.0147660506288257E-001                  1.2433959670055838E-004                  2.8138565169950102E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  9.9819857833723855E+000                  4.7169977488444905E+000                  5.2011950815024719E+001                                        0                                        5 
                                      30                                      873                  3.3806748781253709E+006                  5.2187243795754545E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  3.3790185430748818E+000                  2.2499334623299660E-001                  7.8128082801887100E-008                  3.9127762911954167E-001                  3.3766102888471577E-001                  2.2499334623299660E-001                  7.8128082801887100E-008                  3.9127762911954167E-001                  3.3766102888471577E-001                  4.3438210816031173E+000                 -2.8654821574382037E+001                 -9.8999999999999986E+001                  4.3438210816031173E+000                  1.3398543834723253E+000                  4.3433905224016263E+000                 -2.8654821574382037E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9408335261651507E+033                  9.2282461750234986E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1094910158249404E+004                  4.4636241354930579E+000                  4.3433136674178554E+000                  7.6706172358730829E-001                  4.0800354391841971E+000                  0.0000000000000000E+000                  3.1066811597893632E+018                  2.8125295377167051E-005                  1.4736174508052323E-004                  1.9086081465887136E-001                  1.1417626796223060E+002                  5.9821947927010660E+002                  1.9086081465887136E-001                  2.7021407996641983E-001                 -9.8999999999999986E+001                  7.5300972594936768E+000                  7.3847104826159171E-001                  1.6397294686120514E+001                  1.6397294686120514E+001                  7.3847104826159171E-001                  7.5300972594936768E+000                  7.1295129730585727E-001                  7.6252191184356177E-001                  1.5622597031300660E+000                  2.0456799564843141E+001                  3.4968710018034501E-005                  2.1198671456213045E-002                  5.2504380996175803E-001                  4.5533916395758867E-001                  1.3493048458660019E-004                  1.9004697133400748E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  9.7893816553568982E+000                  4.9099601248391513E+000                  5.2011950815024719E+001                                        0                                        5 
                                      35                                      871                  4.1424544947442673E+006                  5.1601981844984843E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  3.0779460869845927E+000                  2.0194789814708580E-001                  7.8128082801887100E-008                  3.8823935146829536E-001                  3.3748833506554443E-001                  2.0194789814708580E-001                  7.8128082801887100E-008                  3.8823935146829536E-001                  3.3748833506554443E-001                  4.3597976682743509E+000                 -2.8313987598185243E+001                 -9.8999999999999986E+001                  4.3597976682743509E+000                  1.2642943517223562E+000                  4.3594489655548259E+000                 -2.8313987598185243E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8405094911176059E+033                  9.0438378895272418E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8019019656464814E+004                  4.4586981685295974E+000                  4.3592704589350806E+000                  7.8489205327284273E-001                  4.0443747798131282E+000                  0.0000000000000000E+000                  3.1235222403208074E+018                  2.6071167535423904E-005                  1.3806704267429519E-004                  1.8883184254324090E-001                  1.1023401860617447E+002                  5.8377030777052187E+002                  1.8883184254324090E-001                  2.7617316636529193E-001                 -9.8999999999999986E+001                  7.5339166970441447E+000                  7.4122913711491401E-001                  1.6386797941928105E+001                  1.6386797941928105E+001                  7.4122913711491401E-001                  7.5339166970441447E+000                  7.4856610526976697E-001                  7.3582145494347007E-001                  1.6664836103241991E+000                  1.9602257682304309E+001                  3.4895047113659888E-005                  2.1155380843790077E-002                  4.7164290103225831E-001                  5.0881268629847043E-001                  1.4259841486729622E-004                  1.3299032257356573E-003                  3.4468833607861392E-003                  9.3805276451495428E-003                  9.6161798323603733E+000                  5.0833646992952213E+000                  5.2011950815024719E+001                                        0                                        5 
                                      40                                      874                  4.8113468941399325E+006                  5.1049311473497028E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  2.7890185263992771E+000                  1.8552959160423482E-001                  7.8128082746375949E-008                  3.8823935146829530E-001                  3.3723051623259470E-001                  1.8552959160423482E-001                  7.8128082746375949E-008                  3.8823935146829530E-001                  3.3723051623259470E-001                  4.3741985216804773E+000                 -2.7952194655473122E+001                 -1.0962018580511621E+001                  4.3741985216804782E+000                  1.1875257459154076E+000                  4.3739158691654598E+000                 -2.7952194655473122E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6596483042496669E+033                  8.8681209378367204E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5351506933275035E+004                  4.4536926722044461E+000                  4.3736584524160813E+000                  8.0209704266364568E-001                  4.0099648010315230E+000                  0.0000000000000000E+000                  3.1401085283689656E+018                  2.4233042389313698E-005                  1.2965237358412052E-004                  1.8691001951661515E-001                  1.0656665987787180E+002                  5.7015177020910539E+002                  1.8691001951661515E-001                  2.8189199350413652E-001                 -9.8999999999999986E+001                  7.5383497584543688E+000                  7.4686320141705809E-001                  1.6379073033665740E+001                  1.6379073033665740E+001                  7.4686320141705809E-001                  7.5383497584543688E+000                  7.8769013714411340E-001                  7.0927568368384919E-001                  1.7848885687905660E+000                  1.8731203749107046E+001                  3.4968797749551030E-005                  2.1134364399473447E-002                  4.1855136175099855E-001                  5.6195148476335222E-001                  1.4857150534121607E-004                  9.5987158896008952E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  9.4588869348088060E+000                  5.2407774928287205E+000                  5.2011950815024719E+001                                        0                                        5 
                                      45                                      867                  5.4052968941394268E+006                  5.0541124178480796E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  2.5871900118330373E+000                  1.7244879542849756E-001                  7.8128082801887100E-008                  3.9127762911954167E-001                  3.3694159782819183E-001                  1.7244879542849756E-001                  7.8128082801887100E-008                  3.9127762911954167E-001                  3.3694159782819183E-001                  4.3880052458455578E+000                 -2.7566667688564394E+001                 -1.0962018580511621E+001                  4.3880052458455578E+000                  1.1086931406466061E+000                  4.3877769035450136E+000                 -2.7566667688564394E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4010936000979231E+033                  8.6848562362884844E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2919483634630735E+004                  4.4485501739915874E+000                  4.3874383993836155E+000                  8.1927201257313087E-001                  3.9756148612125521E+000                  0.0000000000000000E+000                  3.1570850889685504E+018                  2.2529540700037160E-005                  1.2177302555947216E-004                  1.8501490323867961E-001                  1.0303743925700523E+002                  5.5691660843898774E+002                  1.8501490323867961E-001                  2.8744508271644881E-001                 -9.8999999999999986E+001                  7.5433808217151732E+000                  7.5657292214478600E-001                  1.6374987384076064E+001                  1.6374987384076064E+001                  7.5657292214478600E-001                  7.5433808217151732E+000                  8.3097644826014427E-001                  6.8282004576376099E-001                  1.9209214466064748E+000                  1.7835394704102395E+001                  3.5243041379843414E-005                  2.1134932905905103E-002                  3.6564008807777448E-001                  6.1489430903350684E-001                  1.5362011320628669E-004                  7.1425029751763340E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  9.3146300786872125E+000                  5.3851071304250535E+000                  5.2011950815024719E+001                                        0                                        5 
                                      50                                      861                  5.9334973949603271E+006                  5.0020294400917296E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  2.3070402840064665E+000                  1.5297132671620017E-001                  7.8128083245976310E-008                  3.9127762911954211E-001                  3.3665843623011499E-001                  1.5297132671620017E-001                  7.8128083245976310E-008                  3.9127762911954211E-001                  3.3665843623011499E-001                  4.3999647637236485E+000                 -2.7155444738821881E+001                 -9.8999999999999986E+001                  4.3999647637236485E+000                  1.0249780642391697E+000                  4.3997815790222328E+000                 -2.7155444738821881E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2198054985297187E+033                  8.4900188490945598E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0830415661285861E+004                  4.4432564002370736E+000                  4.3993624572938383E+000                  8.3582158903726833E-001                  3.9425157082842777E+000                  0.0000000000000000E+000                  3.1735716313551826E+018                  2.1001295314867101E-005                  1.1465339302586797E-004                  1.8317449372651676E-001                  9.9747406190329926E+001                  5.4455099591632575E+002                  1.8317449372651676E-001                  2.9249778057629133E-001                 -9.8999999999999986E+001                  7.5490667369336215E+000                  7.6756690902446301E-001                  1.6372000891199001E+001                  1.6372000891199001E+001                  7.6756690902446301E-001                  7.5490667369336215E+000                  8.7957047937250643E-001                  6.5622389388382418E-001                  2.0803226604638603E+000                  1.6920449876133159E+001                  3.5588630547717649E-005                  2.1154206770961793E-002                  3.1244778577722510E-001                  6.6810819629677942E-001                  1.5833058733192949E-004                  5.4788625167453715E-004                  3.4468833607861392E-003                  9.3805276451495428E-003                  9.1825536184967298E+000                  5.5172276095131787E+000                  5.2011950815024719E+001                                        0                                        5 
